#,player,position,team,avg_rank,median_rank,rank_sd,n_sources
417,Dylan Laube,RB,LVR,536.5,536.5,188.5,2
418,Jerome Ford,RB,WAS,537,537,0,1
419,Anthony Gould,WR,IND,543,543,215,2
420,Alexander Mattison,RB,MIA,549,549,0,1
421,Sione Vaki,RB,DET,552,552,252,2
422,Jaylin Lane,WR,WAS,553,553,0,1
423,Rasheen Ali,RB,BAL,558,558,0,1
424,Miami Dolphins,DST,,563,563,0,1
425,Joey Slye,K,,565,565,0,1
426,Jake Moody,K,,566.5,566.5,326.5,2
427,Tim Patrick,WR,NYJ,567,567,0,1
428,Nikko Remigio,WR,KCC,568,568,0,1
429,Justin Watson,WR,HOU,577,577,0,1
430,Brycen Tremayne,WR,CAR,578,578,0,1
431,Isaiah Hodgins,WR,NYG,579,579,0,1
432,Ameer Abdullah,RB,JAC,584,584,0,1
433,Elijah Moore,WR,PHI,589,589,0,1
434,Kalel Mullings,RB,TEN,593.5,593.5,257.5,2
435,Las Vegas Raiders,DST,,596,596,0,1
436,Shedrick Jackson,WR,LVR,598,598,0,1
437,Josh Oliver,TE,MIN,599,599,0,1
438,Marquez Valdes-Scantling,WR,DAL,600,600,0,1
439,Kameron Johnson,WR,TBB,601,601,0,1
440,Dare Ogunbowale,RB,LVR,605,605,0,1
441,Scotty Miller,WR,CHI,612,612,0,1
442,Jonathan Mingo,WR,DAL,615,615,0,1
443,Riley Patterson,K,,621,621,0,1
444,KeAndre Lambert-Smith,WR,LAC,622,622,0,1
445,Jalin Hyatt,WR,NYG,624,624,0,1
446,Riley Nowakowski,TE,PIT,625,625,0,1
447,Cody White,WR,SEA,636,636,0,1
448,Jalen Brooks,WR,ARI,639,639,0,1
449,Washington Commanders,DST,,641,641,0,1
450,Mason Kinsey,WR,TEN,643,643,0,1
451,Elijah Arroyo,TE,SEA,644,644,326,2
452,Gage Larvadain,WR,CLE,646,646,0,1
453,Dylan Drummond,WR,ATL,648,648,0,1
454,Adam Prentice,RB,DEN,649,649,0,1
455,Josh Cameron,WR,JAC,659,659,0,1
456,Jam Miller,RB,NEP,664,664,0,1
457,Ronnie Rivers,RB,LAR,667,667,0,1
458,Kirk Cousins,QB,LVR,669,290,540.9442361895232,3
459,Eli Raridon,TE,NEP,669,669,0,1
460,Cedrick Wilson,WR,DET,670,670,0,1
461,Dee Eskridge,WR,MIA,673,673,0,1
462,Ja'Tavion Sanders,TE,CAR,675,675,0,1
463,Erick All,TE,CIN,679.5,679.5,356.5,2
464,Shedeur Sanders,QB,CLE,682.6666666666666,325,532.9129593303416,3
465,Eli Stowers,TE,PHI,684,684,415,2
466,Arizona Cardinals,DST,,685,685,0,1
467,Adam Trautman,TE,DEN,689,689,0,1
468,Dante Pettis,WR,BUF,694,694,0,1
469,British Brooks,RB,HOU,718,718,0,1
470,Drew Sample,TE,CIN,719,719,0,1
471,Austin Hooper,TE,ATL,722,722,0,1
472,Tylan Wallace,WR,CLE,723,723,0,1
473,Jordan Watkins,WR,SFO,724,724,0,1
474,Tom Kennedy,WR,DET,726,726,0,1
475,Skyy Moore,WR,GBP,728,728,0,1
476,Oscar Delp,TE,NOS,731.5,731.5,446.5,2
477,Julius Chestnut,RB,TEN,732,732,0,1
478,Tim Jones,WR,JAC,738,738,0,1
479,Velus Jones,WR,SEA,739,739,0,1
480,Pierre Strong Jr.,RB,GBP,742,742,0,1
481,Alex Bachman,WR,LVR,745,745,0,1
482,Devin Duvernay,WR,ARI,748,748,0,1
483,Johnny Wilson,WR,PHI,749,749,0,1
484,Reggie Gilliam,RB,NEP,750,750,0,1
485,Jacob Cowing,WR,SFO,751,751,0,1
486,Myles Price,WR,MIN,753,753,0,1
487,Kaden Wetjen,WR,PIT,754,754,0,1
488,Alec Ingold,RB,LAC,755,755,0,1
489,Corey Kiner,RB,ARI,757,757,0,1
490,Trey Palmer,WR,NOS,760,760,0,1
491,Eric Gray,RB,NYG,792,792,0,1
492,Bryce Lance,WR,NOS,793,793,0,1
493,AJ Dillon,RB,CAR,798,798,0,1
494,Brock Wright,TE,DET,812,812,0,1
495,Tyler Goodson,RB,ATL,825,825,0,1
496,Mitchell Evans,TE,CAR,837,837,0,1
497,Ty Chandler,RB,NOS,840,840,0,1
498,Dameon Pierce,RB,PHI,841,841,0,1
499,D'Ernest Johnson,RB,NEP,849,849,0,1
500,Nathan Carter,RB,ATL,850,850,0,1
501,Tanner Hudson,TE,CIN,853,853,0,1
502,Kene Nwangwu,RB,NYJ,854,854,0,1
503,Frank Gore Jr.,RB,BUF,858,858,0,1
504,Elijah Higgins,TE,ARI,860,860,0,1
505,Ryan Fitzgerald,K,,862,862,0,1
506,Ulysses Bentley,RB,IND,863,863,0,1
507,Phil Mafah,RB,DAL,864,864,0,1
508,Jacob Saylors,RB,DET,865,865,0,1
509,Patrick Ricard,RB,NYG,867,867,0,1
510,Craig Reynolds,RB,NEP,871,871,0,1
511,Michael Burton,RB,CLE,873,873,0,1
512,Josh Williams,RB,TBB,875,875,0,1
513,DeeJay Dallas,RB,JAC,876,876,0,1
514,Travis Homer,RB,PIT,887,887,0,1
515,Eli Heidenreich,RB,PIT,888,888,0,1
516,Donovan Edwards,RB,MIA,891,891,0,1
517,Gardner Minshew,QB,ARI,892.5,892.5,559.5,2
518,Brittain Brown,RB,CHI,894,894,0,1
519,Jackson Hawes,TE,BUF,899,899,0,1
520,Jack Stoll,TE,CLE,909,909,0,1
521,Jeremy Ruckert,TE,NYJ,920,920,0,1
522,Luke Schoonmaker,TE,DAL,944,944,0,1
523,Luke Farrell,TE,SFO,953,953,0,1
524,Dallas Cowboys,DST,,954,954,0,1
525,Andre Szmyt,K,,959,959,0,1
526,Mo Alie-Cox,TE,IND,968,968,0,1
527,Ben Sinnott,TE,WAS,969,969,0,1
528,Ben Sauls,K,,984,984,0,1
529,Brevyn Spann-Ford,TE,DAL,986,986,0,1
530,Nate Boerkircher,TE,JAC,991,991,0,1
531,Cade Stover,TE,HOU,993,993,0,1
532,Jason Sanders,K,,998,998,0,1
533,Drew Ogletree,TE,IND,1000,1000,0,1
534,Payne Durham,TE,TBB,1004,1004,0,1
535,Luke Musgrave,TE,GBP,1007,1007,0,1
536,Durham Smythe,TE,BAL,1008,1008,0,1
537,Will Kacmarek,TE,MIA,1010,1010,0,1
538,Foster Moreau,TE,HOU,1012,1012,0,1
539,Matt Gay,K,,1019,1019,0,1
540,Stone Smartt,TE,PHI,1020,1020,0,1
541,Keleki Latu,TE,BUF,1023,1023,0,1
542,Josh Whyle,TE,GBP,1031,1031,0,1
543,Ian Thomas,TE,LVR,1033,1033,0,1
544,Tip Reiman,TE,ARI,1034,1034,0,1
545,John Bates,TE,WAS,1037,1037,0,1
546,Donald Parham,TE,PIT,1041,1041,0,1
547,David Martin-Robinson,TE,TEN,1044,1044,0,1
548,Grant Calcaterra,TE,PHI,1054,1054,0,1
549,Nate Adkins,TE,DEN,1069,1069,0,1
550,Cam Grandy,TE,CIN,1072,1072,0,1
551,Tyler Conklin,TE,DET,1076,1076,0,1
552,John FitzPatrick,TE,GBP,1081,1081,0,1
553,Matthew Hibner,TE,BAL,1086,1086,0,1
554,Spencer Shrader,K,,1089,1089,0,1
555,James Mitchell,TE,CAR,1090,1090,0,1
556,Hunter Long,TE,JAC,1092,1092,0,1
557,Charlie Kolar,TE,LAC,1103,1103,0,1
558,Charlie Woerner,TE,ATL,1137,1137,0,1
559,Pharaoh Brown,TE,IND,1143,1143,0,1
560,Kylen Granson,TE,TEN,1144,1144,0,1
561,Chris Manhertz,TE,NYG,1152,1152,0,1
562,Eric Saubert,TE,SEA,1158,1158,0,1
563,Zaire Mitchell-Paden,TE,NOS,1160,1160,0,1
564,Seydou Traore,TE,MIA,1163,1163,0,1
565,Ben Yurosek,TE,MIN,1168,1168,0,1
566,Max Klare,TE,LAR,1171,1171,0,1
567,Travis Vokolek,TE,ARI,1174,1174,0,1
568,Tanner Koziol,TE,JAC,1177,1177,0,1
569,Justin Joly,TE,DEN,1179,1179,0,1
570,Sam Roush,TE,CHI,1181,1181,0,1
571,Johnny Mundt,TE,PHI,1182,1182,0,1
572,Dre Miller,TE,GBP,1188,1188,0,1
573,Devin Culp,TE,TBB,1190,1190,0,1
574,Max Bredeson,TE,MIN,1191,1191,0,1
575,Joe Royer,TE,CLE,1193,1193,0,1
576,Will Mallory,TE,IND,1194,1194,0,1
577,Robert Tonyan,TE,PIT,1195,1195,0,1
578,Moliki Matavao,TE,NOS,1196,1196,0,1
579,Jared Wiley,TE,KCC,1198,1198,0,1
580,Ben Sims,TE,MIA,1199,1199,0,1
581,Tyree Jackson,TE,WAS,1200,1200,0,1
582,Blake Whiteheart,TE,CLE,1201,1201,0,1
583,Colson Yankoff,TE,WAS,1209,1209,0,1
584,Jack Westover,TE,NEP,1210,1210,0,1
585,Feleipe Franks,TE,CAR,1214,1214,0,1
586,Jelani Woods,TE,NYJ,1215,1215,0,1
587,Nick Kallerup,TE,SEA,1216,1216,0,1
588,Drake Dabney,TE,GBP,1217,1217,0,1
589,Brevin Jordan,TE,HOU,1218,1218,0,1
590,Josh Cuevas,TE,BAL,1219,1219,0,1
591,Cade York,K,,1347,1347,0,1
592,J.J. McCarthy,QB,MIN,1437,1437,0,1
593,Spencer Rattler,QB,NOS,1438,1438,0,1
594,Jameis Winston,QB,NYG,1439,1439,0,1
595,Marcus Mariota,QB,WAS,1440,1440,0,1
596,Mason Rudolph,QB,PIT,1441,1441,0,1
597,Davis Mills,QB,HOU,1442,1442,0,1
598,Mac Jones,QB,SFO,1443,1443,0,1
599,Tyrod Taylor,QB,GBP,1444,1444,0,1
600,Joe Flacco,QB,CIN,1445,1445,0,1
601,Justin Fields,QB,KCC,1446,1446,0,1
602,Joe Milton,QB,DAL,1447,1447,0,1
603,Anthony Richardson,QB,IND,1448,1448,0,1
604,Kenny Pickett,QB,CAR,1449,1449,0,1
605,Quinn Ewers,QB,MIA,1450,1450,0,1
606,Ty Simpson,QB,LAR,1451,1451,0,1
607,Jake Browning,QB,TBB,1453,1453,0,1
608,Cade Klubnik,QB,NYJ,1454,1454,0,1
609,Carson Wentz,QB,MIN,1455,1455,0,1
610,Andy Dalton,QB,PHI,1456,1456,0,1
611,Tyler Huntley,QB,BAL,1457,1457,0,1
612,Trey Lance,QB,LAC,1458,1458,0,1
613,Will Levis,QB,TEN,1459,1459,0,1
614,Aidan O'Connell,QB,LVR,1460,1460,0,1
615,Drew Lock,QB,SEA,1461,1461,0,1
616,Dillon Gabriel,QB,CLE,1462,1462,0,1
617,Tyson Bagent,QB,CHI,1463,1463,0,1
618,Tommy DeVito,QB,NEP,1464,1464,0,1
619,Nick Mullens,QB,JAC,1465,1465,0,1
620,Riley Leonard,QB,IND,1466,1466,0,1
621,Tanner McKee,QB,PHI,1467,1467,0,1
622,Mitchell Trubisky,QB,TEN,1468,1468,0,1
623,Joshua Dobbs,QB,DET,1469,1469,0,1
624,Jalen Milroe,QB,SEA,1470,1470,0,1
625,Zach Wilson,QB,NOS,1471,1471,0,1
626,Kyle Allen,QB,BUF,1472,1472,0,1
627,Brady Cook,QB,NYJ,1473,1473,0,1
628,Shane Buechele,QB,BUF,1474,1474,0,1
629,Josh Johnson,QB,CIN,1475,1475,0,1
630,Brandon Allen,QB,NYG,1494,1494,0,1
631,Jarrett Stidham,QB,DEN,1495,1495,0,1
